,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.03341035842895508,0.0018331142071108916,0.003963470458984375,0.0003054827770218,gini,20,2,10,"{'criterion': 'gini', 'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 10}",0.8583815028901735,0.9335260115606936,0.8728323699421965,0.6318840579710145,0.9159420289855073,0.8425131942699171,0.10882170313759074,77
1,1.4449903964996338,0.04045348916083228,0.09900903701782227,0.0022260864118589544,gini,20,2,500,"{'criterion': 'gini', 'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 500}",0.8959537572254336,0.9566473988439307,0.8265895953757225,0.8028985507246377,0.9826086956521739,0.8929395995643796,0.0701684105002343,29
2,0.28779754638671873,0.004532191046436066,0.02212810516357422,0.0010359874649427216,gini,20,2,100,"{'criterion': 'gini', 'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 100}",0.9075144508670521,0.9624277456647399,0.8410404624277457,0.7739130434782608,0.9826086956521739,0.8935008796179945,0.07738325638653144,26
3,5.687344169616699,0.1401827581987987,0.38611774444580077,0.01907310132079169,gini,20,2,2000,"{'criterion': 'gini', 'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 2000}",0.8988439306358381,0.9682080924855492,0.838150289017341,0.7971014492753623,0.9768115942028985,0.8958230711233977,0.07054072043373397,25
4,0.0290008544921875,0.00031161439993126886,0.003612518310546875,6.819788316772637e-05,gini,20,100,10,"{'criterion': 'gini', 'max_depth': 20, 'min_samples_split': 100, 'n_estimators': 10}",0.8005780346820809,0.7716763005780347,0.8121387283236994,0.7130434782608696,0.8231884057971014,0.7841249895283571,0.039468908896398876,156
5,1.2459580898284912,0.012358626890420337,0.08616089820861816,0.0012111960711557392,gini,20,100,500,"{'criterion': 'gini', 'max_depth': 20, 'min_samples_split': 100, 'n_estimators': 500}",0.7543352601156069,0.7745664739884393,0.7716763005780347,0.7043478260869566,0.8202898550724638,0.7650431431683002,0.037377726143864816,188
6,0.25644803047180176,0.005407818941906971,0.018990182876586915,0.000670576226123818,gini,20,100,100,"{'criterion': 'gini', 'max_depth': 20, 'min_samples_split': 100, 'n_estimators': 100}",0.7716763005780347,0.7976878612716763,0.7658959537572254,0.7304347826086957,0.8173913043478261,0.7766172405126917,0.029592815465872,162
7,4.967633390426636,0.034723715018109,0.348095178604126,0.012794489259333443,gini,20,100,2000,"{'criterion': 'gini', 'max_depth': 20, 'min_samples_split': 100, 'n_estimators': 2000}",0.7716763005780347,0.7658959537572254,0.7832369942196532,0.6898550724637681,0.8231884057971014,0.7667705453631565,0.04334729571710265,182
8,0.029634428024291993,0.001266882526012587,0.003490638732910156,7.362007468406521e-05,gini,20,20,10,"{'criterion': 'gini', 'max_depth': 20, 'min_samples_split': 20, 'n_estimators': 10}",0.8265895953757225,0.9393063583815029,0.8294797687861272,0.6753623188405797,0.9188405797101449,0.8379157242188155,0.09322226029323484,87
9,1.3021875858306884,0.018561909938071865,0.10159835815429688,0.015447249528135875,gini,20,20,500,"{'criterion': 'gini', 'max_depth': 20, 'min_samples_split': 20, 'n_estimators': 500}",0.8410404624277457,0.8901734104046243,0.8092485549132948,0.7246376811594203,0.936231884057971,0.8402663985926111,0.07215648318091268,81
10,0.26416869163513185,0.006179826188580221,0.019360733032226563,0.00018920820326413155,gini,20,20,100,"{'criterion': 'gini', 'max_depth': 20, 'min_samples_split': 20, 'n_estimators': 100}",0.8236994219653179,0.9075144508670521,0.7774566473988439,0.7014492753623188,0.9159420289855073,0.825212364915808,0.08075358218913009,97
11,5.204529666900635,0.019589896055378375,0.3681629657745361,0.013005220718310367,gini,20,20,2000,"{'criterion': 'gini', 'max_depth': 20, 'min_samples_split': 20, 'n_estimators': 2000}",0.838150289017341,0.8959537572254336,0.791907514450867,0.736231884057971,0.936231884057971,0.8396950657619167,0.07137935838281688,82
12,0.02927684783935547,0.000297969317329272,0.003742361068725586,4.580084821621426e-05,gini,20,50,10,"{'criterion': 'gini', 'max_depth': 20, 'min_samples_split': 50, 'n_estimators': 10}",0.8063583815028902,0.8294797687861272,0.838150289017341,0.8028985507246377,0.8985507246376812,0.8350875429337353,0.03443805718215875,89
13,1.2817530632019043,0.015567224053351779,0.08842568397521973,0.0023474380993591436,gini,20,50,500,"{'criterion': 'gini', 'max_depth': 20, 'min_samples_split': 50, 'n_estimators': 500}",0.8208092485549133,0.8728323699421965,0.8092485549132948,0.7072463768115942,0.8579710144927536,0.8136215129429505,0.05806764979990552,106
14,0.25736846923828127,0.004539887485991058,0.02025609016418457,0.0015512929819991377,gini,20,50,100,"{'criterion': 'gini', 'max_depth': 20, 'min_samples_split': 50, 'n_estimators': 100}",0.8005780346820809,0.8641618497109826,0.8179190751445087,0.7275362318840579,0.8927536231884058,0.8205897629220071,0.05687303571056928,101
15,5.0527918338775635,0.04015848127649192,0.35764060020446775,0.015927009101493222,gini,20,50,2000,"{'criterion': 'gini', 'max_depth': 20, 'min_samples_split': 50, 'n_estimators': 2000}",0.8179190751445087,0.869942196531792,0.7890173410404624,0.7101449275362319,0.881159420289855,0.81363659210857,0.06174888701041445,105
